location_name,cgd_rate,cgd_rate_lower,cgd_rate_upper,cgd_deaths,all_deaths,pmr
Malawi,91.11165550396295,41.339022911159816,184.08110416147258,2664.9400617783976,33902.87062720862,7.860514500620665
Comoros,90.22968830897123,42.23701389155117,175.37474426454,96.37719147513026,1023.4633733928962,9.416769957837284
Panama,89.12690891818879,64.67028998476871,109.0749113288835,308.6278998512873,993.2498396272516,31.072534576709288
Pakistan,88.71579448871361,50.52102162561676,141.1814424383132,27349.526090158488,322086.2831643727,8.491366295223754
Suriname,88.63759916271394,57.400212036492924,134.1687301719497,40.261512379458196,262.4800151436597,15.33888679388501
Morocco,87.96291205680858,51.82470192327777,143.13386295845206,2304.143254390331,8904.73932647278,25.875471138614632
Democratic Republic of the Congo,87.17676768262398,35.859397081387065,196.46425022391168,12733.23687815942,210436.0117610803,6.0508830079027405
Chad,86.58915510055937,39.73528448844207,167.40843184885856,3460.774496686694,94207.32772074205,3.6735725133244808
Mexico,86.35013479695851,68.6753160468222,104.23141041360684,7936.969214338982,30117.80125064664,26.35308317591269
Cameroon,86.01826691726478,40.431222456225086,160.9355485756646,4417.5178444506,74379.12677814747,5.939190248397032
Madagascar,85.38495007399052,39.168180875348284,171.67272450189344,3951.865863055463,58528.311866509765,6.7520585115606995
Uganda,85.12193721878526,35.81184796335747,171.1614063784544,6389.829017702718,86140.02637350567,7.417955724782615
Gambia,84.49654701073463,33.278690261548164,205.92886657390358,306.8447632730557,4238.342179510114,7.239735497442119
Senegal,83.14452248157762,37.73865055241734,161.66459236651258,2252.3012359117897,24274.23672139467,9.278566662105057
Venezuela (Bolivarian Republic of),82.77001565333154,59.7980173752903,110.57190710371947,1287.820997506769,9653.927746826645,13.33986571351842
Indonesia,80.80516535996803,45.63073186292606,139.23394297688415,17619.408476546527,116243.46766204126,15.15733213308128
Seychelles,79.0013190749847,47.45514580343339,122.53781824693897,5.864971641014786,18.537048535964026,31.639188027349984
Uzbekistan,78.9389507909612,48.25007887954448,97.44592605700127,3253.6114459337464,28566.127535673564,11.389753272895025
Türkiye,77.67365029560187,47.45144303077025,117.92688868582665,4208.649672645994,18301.76603090599,22.995866440095963
Bhutan,77.3642503322702,43.40854034785303,129.29683115879396,39.39040065778856,289.90905997714856,13.587157524809133
United Republic of Tanzania,76.18530767517005,34.86938900850967,152.73762713252384,7522.798682171772,89951.2369768123,8.363196477343614
Sao Tome and Principe,76.0585591153559,34.96886697884446,137.58813745598576,16.896129491189264,153.02850183876794,11.041165069361499
Congo,75.86333608423614,33.88459592104216,151.19352715922966,584.166802439305,7663.377194832037,7.622837654829915
Philippines,75.61597736904243,51.409708300900405,109.04101902863337,7611.890431328049,53404.18786271371,14.253358652126602
Gabon,75.22748327626874,31.294925226630845,148.61929957128913,177.8672608216125,1737.34002010295,10.237907304470692
Eswatini,74.81765835318579,40.03647012418285,131.30458673826223,100.0838926295905,1370.9957171753322,7.300087912440291
India,74.32252372370134,48.07545317884856,112.55896037806592,81780.37047515619,691473.2864354122,11.826974675585673
El Salvador,74.10897881451552,48.880287028819986,106.70461410594194,325.71193577401937,1250.750927752376,26.04131074756268
Peru,72.45697791663184,48.36072162347329,100.592178072125,2222.6239337626694,11836.092419567383,18.778359064586517
South Africa,71.88079825326393,46.34441998624252,104.08706381969898,3756.189162157676,37283.7323248028,10.074606076009434
Kyrgyzstan,71.52797609396154,56.526461353314595,91.4141169847465,566.5449465414605,3175.561383286219,17.84078083085811
Cambodia,69.75559475104619,37.95737042457708,124.87379198590457,1211.5645655688231,7839.009208725297,15.455582884381327
Lebanon,69.37883098147911,42.49327232717719,107.19818559973402,293.3360448744528,1637.9772975595629,17.90843165601238
Kazakhstan,67.97534805778078,53.481276230468104,98.29509066690373,1410.3496032227217,5540.5659805613805,25.454973520229107
Nicaragua,67.50306225262216,44.95795278534766,94.93913656898384,427.9999347091326,1712.7639126102526,24.98884589743957
Mauritius,67.30055296475429,44.14677498219078,89.22371717576232,42.7482619643772,183.0224146712096,23.35684513898053
Cabo Verde,67.24529269077473,34.005174767597694,117.0423807110059,25.47540545971621,178.0308990856369,14.309541540573786
Brunei Darussalam,66.76603803009188,42.81892236506821,101.09353499013349,18.700848983352937,51.85709567087654,36.062276032661664
Mauritania,65.59472674202075,29.358864274294387,121.2138756003069,436.72516028558624,5711.399531818716,7.6465524404754275
Iran (Islamic Republic of),65.39589609688834,36.52193116199087,104.1031330150892,3657.3650727120407,11981.75159421301,30.524460834912386
Guatemala,64.86133557887761,43.13753549661304,84.44948827021877,1104.624255331627,8007.574212922345,13.794742651888543
Brazil,64.61436377282392,53.973119865978155,84.29590549009764,9601.244569915603,39785.96551360429,24.132239713103314
Palestine,64.07445837682144,41.45244653570457,95.64073282365099,419.5528200666705,3346.8933539344903,12.535589745441364
Lesotho,63.63657619715562,31.022213915212145,117.87444717803915,129.07818266270357,2638.5048082494654,4.892095790734655
Maldives,63.089257518631946,38.0842433834253,97.03417069329835,20.12686424495254,92.1143503866394,21.849868300077393
Nauru,62.901473030587,35.589159706979395,104.97787334060702,0.987123037722433,8.34921647896803,11.82294219115088
Kuwait,61.99049597095353,49.148277567470515,80.57596429982507,154.750058380443,390.35600986827035,39.64331391558824
Tajikistan,61.91526155252149,38.27418874822121,101.02038414190127,835.3209368766647,7006.7590593777095,11.921644940233637
Kiribati,61.297361630053565,32.305461468663424,111.48707077303975,9.152357498042852,114.99800465831696,7.958709827389105
Trinidad and Tobago,60.79968973409354,45.63739667299776,78.930838236337,43.72684101055689,159.93869152062155,27.339751622839188
Republic of Moldova,58.58646100721821,39.51251141730167,79.00453178356257,86.37984218060963,314.5865676640433,27.458210572060192
Colombia,57.138644978694266,44.94269370892022,66.53848980855835,2120.5823645308433,8567.783018151526,24.750654399606315
Costa Rica,56.99932989021171,45.96950537584737,72.23312939731683,163.91667391494119,425.5993634175825,38.51431369602688
Namibia,56.932010862835206,29.979784562530778,99.63320615473101,193.93334081294685,2571.9979586227432,7.540182532524035
Argentina,56.0954795308397,42.97998590564139,70.62585412864011,1560.8700867773957,4834.444790673964,32.28643938159022
Botswana,55.37723821938646,29.356103132441255,98.38742916661441,138.7928116416336,1228.9569025416474,11.29354588062376
Palau,54.37153508109455,30.328119517831514,92.47217852809136,0.5586129959626802,4.714823160100531,11.848015863881717
Jamaica,53.83521218491168,37.84023182176156,71.01565987984627,100.59196955475431,586.4366373406499,17.15308409292347
Tuvalu,52.59896716208618,29.15585858010473,92.09119915820051,0.629089923052089,5.433226627477475,11.578569534916701
Armenia,52.58850121769493,37.404293532599894,69.84417174542418,89.66065553564201,394.88998385306786,22.705224037539345
Viet Nam,52.33018097898775,29.48190339572543,85.85049441595585,4108.243286915067,17747.63111847575,23.148121907031737
Oman,51.965497894169964,28.063721592073424,90.24474093852676,225.44292649487818,665.4422438221204,33.87866168519674
Chile,51.854302922042244,40.36763928692497,69.87351036674401,501.7276648066896,1310.213590189287,38.293578128296225
Dominican Republic,51.77273111606834,30.48807155423847,80.20468641504237,526.110056225132,4852.947669229206,10.84104119978475
Guam,51.75378859308332,37.84400830233017,73.64290605906378,5.952430928772075,34.96906994453172,17.021988111819613
Saudi Arabia,51.29133203791124,30.44518197052282,78.96884082082008,1301.9899858288331,4744.618462891821,27.441405373516098
Belize,48.36692018484894,34.64142702793304,65.68380164412186,17.409336335879782,94.53924161876476,18.414931236791585
Democratic People's Republic of Korea,48.036756805495145,27.323759658521137,80.73416050509721,715.7556971750454,3916.9508398427793,18.273287729181067
Honduras,46.394085071084696,25.84842413765813,78.0970577445246,561.316457666655,2490.0786087638567,22.54211797535612
Mongolia,46.366476195898215,28.21811202303892,70.29090092156297,177.2589143081073,1149.196750124598,15.424592376274
Ukraine,45.912510287965425,32.878388168171746,66.04284698370866,580.1278374797008,1921.4769247589488,30.191767072741634
Bahrain,45.884149374355594,25.69852899824201,72.21897335421033,39.77509730397196,106.00270152763136,37.52272039369103
Barbados,45.403795348523076,33.740741660950555,59.05391102745959,6.000593450716461,24.949291690283463,24.051157544698558
Northern Mariana Islands,44.806609722483,23.247853370693196,77.78657718263958,1.2324965569181827,6.535561670370345,18.85831117631152
Greenland,44.54592199518669,25.826628827031378,72.16694167237041,1.759195407492443,9.770416741329672,18.005326221663612
Albania,44.3721233699218,28.94232523359378,66.9778379282975,52.80144223810478,201.6643730912644,26.182831121196195
Bahamas,44.22326330661535,31.8987017853109,64.86601171003377,9.331195687798736,45.65429735915709,20.4388113004813
Tonga,44.17997180990246,24.817125340614094,76.28585099822389,4.896600530718797,24.21262815860159,20.22333345494041
Solomon Islands,43.73551429237264,23.031767205567892,78.12216690224258,49.391919467383374,218.36363122540385,22.619114359936166
Sri Lanka,43.40574919382158,29.393423569331635,61.9982869807033,617.1547293401508,2235.9983884379376,27.600857519906057
Kenya,43.1337523064566,19.7634365272737,85.90177409639624,2563.425566797773,41197.96658037147,6.222213811929015
Grenada,42.974376105858205,29.723191665994868,66.7049039847675,3.0642687788989806,21.175504951200914,14.470817985028491
Nepal,42.661314238802994,24.237079907250955,73.71378533883158,1209.6545386333414,16734.622937269585,7.228454104808818
Uruguay,42.02935061841444,30.814649448535896,60.984302584873696,73.49825611067726,207.0485208115514,35.498083165526644
Saint Kitts and Nevis,41.56630293952973,31.449879718211417,56.31977423956332,1.2384957427190793,6.942733581508253,17.838733521588278
Syrian Arab Republic,41.299363712541485,27.59960598215074,63.14256507096135,545.9221484933772,2659.014912377373,20.530992359319978
Saint Vincent and the Grenadines,40.8945835197329,27.61251195398307,65.56133981522608,2.7611130336043535,14.602644966972656,18.908307637755115
Samoa,40.126977643846395,22.04528561420557,69.76807374671272,11.886008128775515,95.37142223492746,12.462861358507196
Malaysia,38.44333229554359,24.302014851083722,57.067227843069176,885.4982806996433,3241.658915091981,27.31620765457731
Marshall Islands,37.67072915739802,20.840842756788103,67.20718655514467,1.6666597596179185,14.864982703980615,11.211985865086897
Bulgaria,37.074574683659264,28.784622208383073,51.20844030459895,112.17183342766545,345.7717916095068,32.44100188321474
Saint Lucia,36.38550790155772,25.53195470231607,55.32556971146734,3.4075217671043507,18.96952720479958,17.963134928540526
Niue,36.264512655574364,19.951706345451324,62.53586442732029,0.04190244491383705,0.24722758527475597,16.94893588321418
Dominica,36.200013094816434,22.831832716296667,55.27477680873534,1.209281227074932,5.824046329272383,20.763592160950605
Malta,35.708256499146444,26.98971159545096,46.63241841410784,8.42249401381644,20.524134633037026,41.03702379860161
Romania,35.446821012344785,27.940750842334452,50.56795123366254,323.16959878119457,1124.657185048613,28.734942796566553
Antigua and Barbuda,34.655777698244705,23.5322295023256,59.89836776038689,1.796628760059104,8.550756818682176,21.01134201517377
Qatar,34.650378856194436,20.16306228064423,53.87157774688991,52.50339781162073,155.53251706125545,33.75718390189918
Georgia,33.97562324740191,24.70603786135831,47.289679054087586,76.30259108698061,402.0784556934453,18.977040427442258
Belarus,33.90638717907946,25.3659434445221,48.85116666709024,147.9937955362514,367.45774269410504,40.27505161578559
Micronesia (Federated States of),33.8668914658505,21.1042795941613,54.33150134321926,3.2164660494914203,24.067882785343095,13.364142073394964
Puerto Rico,33.32246146928156,23.90047790534946,53.34967186433954,28.022290836210225,131.95133992037185,21.236836892388304
Thailand,33.222879276012954,20.899111885048082,48.6014008999872,878.5745143430219,3976.474593590095,22.094307247913665
Russian Federation,32.76259952025722,24.487841925871827,51.452942790697186,2049.0652389844827,7556.099754252069,27.11802789304635
American Samoa,31.920172932927688,16.031539988425088,54.73217083550933,1.1654436345185963,7.852212436499063,14.842232605696204
Bermuda,30.099457715918845,21.843411298772555,41.014984310802944,0.7140776611390279,2.2324993688321153,31.985570572079602
United States of America,29.60819362414093,22.98410782930653,42.84632083223068,5485.82021730648,24217.328987289176,22.65245775116568
Poland,29.539721111989493,23.20544125979381,42.91187846962264,522.8022147372981,1277.6615495392432,40.918677949245144
United States Virgin Islands,28.08748179744689,18.18556385009535,52.42168667719927,1.1551942014338836,5.468782626201098,21.12342509097572
United Arab Emirates,28.023586408633477,16.024598975522963,45.361498282680195,122.22890990352745,402.64675470293497,30.356362860469492
Tokelau,27.956611384756343,15.522059532674733,47.450740402357106,0.03031520127444295,0.2106196577707052,14.39333896717567
Slovakia,27.384709244505085,17.455039881490965,39.96258399757377,75.95656626195189,279.21601907836794,27.203513076602192
Vanuatu,27.22089964193127,14.189250821231212,50.290978344725175,11.881775646431086,139.8185889876272,8.497994245588135
Ireland,26.258355877256633,19.952616055287503,39.38260760593686,78.07657068946739,183.97160896120425,42.43946722558267
Greece,26.11859249980138,19.84508920740493,38.74334275180748,106.55445432060858,316.05632873934525,33.71375436322463
Canada,26.095728990407068,20.419337550542767,37.9867566757896,484.1608260205601,1771.6883065144805,27.327652626046323
Switzerland,25.716829479255317,19.69571974560895,37.11222356153276,111.69515087204181,291.067433679581,38.37432084380846
Denmark,25.639361736004023,18.82612858096303,39.25458114348436,78.41662312801509,216.94858323362396,36.14525707391742
United Kingdom,24.872496660007283,19.937637664636235,39.229280830877364,885.96528269866,3099.2746667177585,28.586213807146322
Croatia,24.472601569846205,18.621701916234496,37.406351976916184,43.09662845404651,136.38024675077443,31.600344977233142
New Zealand,24.262503085875107,18.53673389591691,37.65931477915827,72.31543363851792,256.31097384949976,28.213943614049068
Netherlands,24.206419816167216,18.076744372484264,38.99544760747604,209.93612725111586,657.1149311501678,31.948159644410822
Hungary,23.811804790566235,16.448655128514503,42.77776757146442,108.29817301083678,356.9484590448836,30.34000295186009
Cuba,23.6746860849141,14.09808409262635,45.39690913355315,121.83493148042979,543.3672172710106,22.422208703044227
Germany,23.323664796954414,18.296770489604068,34.742364212078996,921.323182193343,2783.167864595599,33.103399687579156
Lithuania,23.095637233370606,17.219037274822416,37.303930037513815,28.611919557088243,77.62263867663742,36.86027690488671
North Macedonia,23.052187735884715,16.860023925271864,31.267578373434326,21.649411146160936,99.20680278913828,21.82250666033079
Taiwan,22.94287276815308,16.534291894189053,37.26935056814403,175.65988871850345,621.6620398798846,28.25649266801683
Israel,22.847401308533588,17.055505192134145,36.837287853834816,215.31165727990836,597.924317426229,36.00985124785014
Iceland,22.482495046277357,16.710362835773587,34.445499298858664,5.187829320644623,15.26079153897028,33.99449699182951
Andorra,21.688003837095486,12.767768544973675,32.82696875666435,0.5119249309585752,1.5560516004691949,32.89896882624039
Australia,21.60645885094345,16.364776521616097,32.934703210277824,324.63505357112064,1086.9306045234284,29.867137075734373
San Marino,21.413321495923572,11.676679049532563,35.82876399100585,0.24641299154815352,0.8559799724979644,28.7872379571053
Cook Islands,21.060303577079864,10.887330405995428,37.53813694797616,0.23113328081562667,1.655057395085437,13.965272835972867
Portugal,20.724727032695004,14.681147566553145,35.06031619863114,87.28308535952617,280.8746771394875,31.075455519323942
Serbia,20.63780812765522,14.17619512906648,29.496989793130435,71.38536191679252,344.22939517957764,20.737729815186814
Latvia,19.82595257944449,13.687768677383845,34.53197399368686,17.639257112957036,59.71002771267033,29.54153228305072
Austria,19.639198673891897,14.513119342298236,31.465573587713358,84.36516097503124,250.81898508590933,33.63587526922449
France,19.23308027119615,13.680265692580374,33.73263096386573,695.9598481350195,2850.984080713802,24.411214809756906
Finland,19.07135879847692,13.31439238587457,32.19984499541673,44.91703287505328,109.18558435705872,41.13824470469068
Japan,18.819376706529834,14.144715204447365,29.893382646948943,777.6431540418484,1805.1700314382947,43.07866519489304
Spain,18.75204146178069,13.263246713000989,33.37457037870793,331.80325174990304,1135.1514802522945,29.229865574959007
Norway,17.86720629658841,12.102325522372524,35.5394820181377,49.255062213347735,122.98612811281954,40.049282768024305
Italy,17.770528995118017,13.253433376629717,27.361882685765895,371.0879671422514,1155.1580688027311,32.124431899338866
