location_name,sdi_value,sdi_group,high_quality_vr,total_rate,total_deaths,frontier_main,gap_main,avoid_main,frontier_hq,gap_hq,avoid_hq
Democratic People's Republic of Korea,0.57705994,Low-middle,FALSE,48.036756805495145,715.7556971750454,36.16787727095191,11.868879534543233,176.84828683025938,43.25273333692573,4.784023468569416,71.28274847764018
Belarus,0.803625792,High-middle,TRUE,33.90638717907946,147.9937955362514,15.718961107542139,18.18742607153732,79.38404646728448,17.91285659198984,15.99353058708962,69.80818342890123
United Arab Emirates,0.862209546,High,FALSE,28.023586408633477,122.22890990352745,12.706991740508379,15.316594668125099,66.80553453866088,12.799378234033885,15.224208174599593,66.40257753562886
Costa Rica,0.71538598,High-middle,TRUE,56.99932989021171,163.91667391494119,21.915900989652155,35.083428900559554,100.8916944460184,34.083046013123045,22.916283877088667,65.90184549288945
Fiji,0.686418864,Middle,FALSE,97.95097567818067,87.40844447995151,24.47410431643452,73.47687136174615,65.56850492316626,38.15955289115554,59.79142278702513,53.35603063544763
Comoros,0.478698597,Low-middle,FALSE,90.22968830897123,96.37719147513026,48.527698827154666,41.70198948181657,44.54321743216413,42.503491496996496,47.72619681197474,50.9778643230679
Switzerland,0.946050659,High,TRUE,25.716829479255317,111.69515087204181,9.428040948186165,16.28878853106915,70.74661726742674,14.559232931703383,11.157596547551934,48.460461689240624
Namibia,0.619642149,Middle,FALSE,56.932010862835206,193.93334081294685,31.29829758971403,25.633713273121177,87.31874348289975,42.855346419978034,14.076664442857172,47.9507841288668
Greece,0.831148242,High,TRUE,26.11859249980138,106.55445432060858,14.21490998181617,11.90368251798521,48.56273917207934,14.610039261458878,11.508553238342502,46.9507539635064
Honduras,0.520269472,Low-middle,FALSE,46.394085071084696,561.316457666655,43.12447636512787,3.269608705956827,39.558602653155695,42.83290941072281,3.561175660361883,43.086236181622525
Eswatini,0.606902305,Low-middle,FALSE,74.81765835318579,100.0838926295905,32.72192590401704,42.09573244916875,56.31163630807721,43.119906813354106,31.697751539831685,42.402214016590726
Lesotho,0.509816661,Low-middle,FALSE,63.63657619715562,129.07818266270357,44.4589617134037,19.177614483751917,38.899195608818495,42.74983924565123,20.88673695150439,42.365919233326515
Republic of Moldova,0.733718614,High-middle,TRUE,58.58646100721821,86.37984218060963,20.433101523519458,38.15335948369875,56.25328982503168,30.923462921425326,27.662998085792886,40.78630741322456
Botswana,0.677582005,Middle,FALSE,55.37723821938646,138.7928116416336,25.305949769791585,30.071288449594878,75.36812610753731,39.15324182246919,16.223996396917272,40.66244811760186
