location_name,sdi_value,sdi_group,total_rate,total_deaths,frontier_asmr,efficiency_gap,gap_pct,avoidable_deaths
Romania,0.768756849,High-middle,35.446821012344785,323.16959878119457,17.89313087936972,17.553690132975063,49.521197195262666,160.03745428757455
United States of America,0.876475276,High,29.60819362414093,5485.82021730648,12.074141798046783,17.53405182609415,59.22026871574436,3248.7174739515285
Dominica,0.75366422,High-middle,36.200013094816434,1.209281227074932,18.941650123789387,17.258362971027047,47.67501858583116,0.5765250497629408
Niue,0.748490237,High-middle,36.264512655574364,0.04190244491383705,19.317238275844907,16.947274379729457,46.73239246501889,0.019582015009572677
Switzerland,0.946050659,High,25.716829479255317,111.69515087204181,9.429927403215219,16.2869020760401,63.331687481841634,70.73842388265302
Poland,0.847008286,High,29.539721111989493,522.8022147372981,13.421600717015808,16.118120394973687,54.56422670297897,285.26298565745424
Antigua and Barbuda,0.755852569,High-middle,34.655777698244705,1.796628760059104,18.78528980612714,15.870487892117566,45.79463785318947,0.8227596342353152
Bermuda,0.826940374,High,30.099457715918845,0.7140776611390279,14.433686865541622,15.665770850377223,52.046688010900574,0.3716537724485657
Ireland,0.906907098,High,26.258355877256633,78.07657068946739,10.833674201099388,15.424681676157245,58.7419933992027,45.86373400073076
United Arab Emirates,0.862209546,High,28.023586408633477,122.22890990352745,12.707119856589745,15.316466552043732,54.65562590277543,66.80497574191239
Denmark,0.915990253,High,25.639361736004023,78.41662312801509,10.489923508647863,15.14943822735616,59.08664335462998,46.33375043839455
Georgia,0.754633377,High-middle,33.97562324740191,76.30259108698061,18.87222001405315,15.103403233348764,44.45364584887699,33.91928361532314
Tonga,0.63599479,Middle,44.17997180990246,4.896600530718797,29.52165681316114,14.658314996741321,33.178642711256366,1.6246255950846726
Canada,0.887304675,High,26.095728990407068,484.1608260205601,11.616288545826077,14.479440444580991,55.48586303108725,268.6408127759486
Saint Vincent and the Grenadines,0.65846284,Middle,40.8945835197329,2.7611130336043535,27.186402709358422,13.708180810374476,33.52077373219819,0.9255464524847488
Netherlands,0.908399773,High,24.206419816167216,209.93612725111586,10.776390813295286,13.43002900287193,55.48126945192512,116.475228437128
Saint Lucia,0.70288814,High-middle,36.38550790155772,3.4075217671043507,22.99036318747349,13.395144714084232,36.814505242926025,1.254462279604477
United States Virgin Islands,0.816423321,High,28.08748179744689,1.1551942014338836,14.998012415500344,13.089469381946547,46.602502411363766,0.53834940557916
United Kingdom,0.880444683,High,24.872496660007283,885.96528269866,11.90411982595624,12.968376834051043,52.13942537141041,461.937207389273
Slovakia,0.813141722,High,27.384709244505085,75.95656626195189,15.179166735916615,12.20554250858847,44.570648530941,33.85433418478589
American Samoa,0.743030595,High-middle,31.920172932927688,1.1654436345185963,19.722594826129676,12.197578106798012,38.212756968542095,0.44534814366393516
Greece,0.831148242,High,26.11859249980138,106.55445432060858,14.214617636569939,11.903974863231442,45.57663229104695,48.56393183543536
Democratic People's Republic of Korea,0.57705994,Low-middle,48.036756805495145,715.7556971750454,36.16742755251116,11.869329252983988,24.70884806200364,176.8549877101168
New Zealand,0.866430611,High,24.262503085875107,72.31543363851792,12.51616854257399,11.746334543301117,48.41353137277694,35.01045515194356
Germany,0.878636199,High,23.323664796954414,921.323182193343,11.981262372701444,11.34240242425297,48.63044690015461,448.0435808953484
Taiwan,0.881537661,High,22.94287276815308,175.65988871850345,11.857755649640483,11.085117118512597,48.316168731492986,84.87212822678494
Iceland,0.888965507,High,22.482495046277357,5.187829320644623,11.547723371956772,10.934771674320585,48.6368245686822,2.523195445604583
Lithuania,0.856187639,High,23.095637233370606,28.611919557088243,12.985049632095663,10.110587601274943,43.7770454181982,12.52545301952485
Andorra,0.879855839,High,21.688003837095486,0.5119249309585752,11.929178958957404,9.758824878138082,44.99641807258647,0.23034788215192015
San Marino,0.883012202,High,21.413321495923572,0.24641299154815352,11.795511078369687,9.617810417553885,44.91507970580284,0.11067659155930637
Israel,0.840929726,High,22.847401308533588,215.31165727990836,13.719577776558978,9.12782353197461,39.951254887641575,86.01970900270146
Thailand,0.68718778,Middle,33.222879276012954,878.5745143430219,24.405535307363824,8.81734396864913,26.539975344687498,233.17345949134585
Tokelau,0.749948959,High-middle,27.956611384756343,0.03031520127444295,19.210505932249426,8.746105452506917,31.2845692639124,0.009483980140197558
Australia,0.852886303,High,21.60645885094345,324.63505357112064,13.140232045924202,8.466226805019248,39.18377770010919,127.20427772793829
Finland,0.89081503,High,19.07135879847692,44.91703287505328,11.471873347879804,7.599485450597115,39.84763503691214,17.89837532946108
Hungary,0.793609757,High-middle,23.811804790566235,108.29817301083678,16.310393730517497,7.5014110600487385,31.502908435653936,34.117074281089984
Croatia,0.782133463,High-middle,24.472601569846205,43.09662845404651,17.020143360712527,7.4524582091336775,30.452251624593057,13.123893738542215
Norway,0.916927776,High,17.86720629658841,49.255062213347735,10.455091903833612,7.412114392754798,41.484461922679415,20.4331975288883
Samoa,0.604489559,Low-middle,40.126977643846395,11.886008128775515,32.9950543915283,7.131923252318096,17.773387558910258,2.112546290010849
Japan,0.875884075,High,18.819376706529834,777.6431540418484,12.099686853637209,6.719689852892625,35.706229582837715,277.6670499174027
Latvia,0.8508436,High,19.82595257944449,17.639257112957036,13.237269527469108,6.588683051975382,33.232617830461855,5.8619869044815704
Austria,0.853959728,High,19.639198673891897,84.36516097503124,13.089552807784804,6.5496458661070935,33.349863071623744,28.13566566532787
Syrian Arab Republic,0.58868192,Low-middle,41.299363712541485,545.9221484933772,34.807782781860354,6.491580930681131,15.71835579808174,85.80998568072118
France,0.86109871,High,19.23308027119615,695.9598481350195,12.757896395226412,6.475183875969739,33.66691026432778,234.30817754736893
Sweden,0.910927944,High,17.11044033781144,96.44831899152426,10.680086474300339,6.430353863511101,37.58146334376333,36.24668964747562
Monaco,0.92270063,High,16.56500628710132,0.2663323454213203,10.24322248335345,6.321783803747868,38.163485688927594,0.10164170652985077
Marshall Islands,0.605458023,Low-middle,37.67072915739802,1.6666597596179185,32.8853934711082,4.7853356862898195,12.703060952962849,0.21171680514276825
North Macedonia,0.758480094,High-middle,23.052187735884715,21.649411146160936,18.59950242706929,4.4526853088154255,19.31567346158669,4.181729563348799
Somalia,0.229019065,Low,91.4200284293493,3763.233513410656,87.26696562923713,4.153062800112167,4.542836916006554,170.9575612827498
Portugal,0.78646394,High-middle,20.724727032695004,87.28308535952617,16.748210140835866,3.976516891859138,19.187306474945835,16.74727308872086
Cyprus,0.855816058,High,16.777664134903247,12.793504474872327,13.002415466755506,3.775248668147741,22.501634540972482,2.8787476219187322
Serbia,0.784525117,High-middle,20.63780812765522,71.38536191679252,16.86933179316519,3.7684763344900283,18.26006090947308,13.035010566454112
Singapore,0.869993868,High,16.113435356693344,40.56405637695552,12.35739592868807,3.7560394280052734,23.309985393307553,9.455475616401372
Cook Islands,0.777404869,High-middle,21.060303577079864,0.23113328081562667,17.32294771257413,3.7373558645057336,17.74597337036079,0.04101685046358233
